Ulasan,clean,cleanStemming,word_count,English,sentiment,Vader_Sentiment
pelayanan cepat dan kualitas bagus,pelayanan cepat kualitas bagus,layan cepat kualitas bagus,5,Good quality fast service,0.4404,Positive
performa bagus garansi lama tahun semoga awet,performa bagus garansi lama tahun semoga awet,performa bagus garansi lama tahun moga awet,7,"good performance of old year warranty, hopefully durable",0.6808,Positive
semuanya memuaskan recommended sekali,semuanya memuaskan recommended sekali,semua muas recommended sekali,4,Everything is very satisfying recommended,0.6566,Positive
perfect barangnya sudah sampai dengan cepat dan tanpa kekurangan apapun terima kasih msi,perfect barangnya cepat kekurangan apapun terima kasih msi,perfect barang cepat kurang apa terima kasih msi,13,Perfect the goods quickly lack whatever thank you Msi,0.5994,Positive
ya makasih,makasih,makasih,2,Thanks,0.4404,Positive
ok tidak ada kerusakan,kerusakan,rusa,4,damage,-0.4939,Negative
blm ditest semoga normal,ditest semoga normal,ditest moga normal,4,Dites I hope it will be normal,0.4404,Positive
barang dikemas dengan rapi sampai dengan aman dan monitor berfungsi dengan sangat baik sellernya juga ramah,barang dikemas rapi aman monitor berfungsi sangat baik sellernya ramah,barang kemas rapi aman monitor fungsi sangat baik sellernya ramah,16,The item is packaged neatly safe monitor functions very well the seller is friendly,0.8718,Positive
bagus mantap keren fast respon recomended seller,bagus mantap keren fast respon recomended seller,bagus mantap keren fast respon recomended seller,7,good great cool fast response recommended seller,0.8779,Positive
barang sudah sampai dengan selamat,barang selamat,barang selamat,5,Congratulations,0.5994,Positive
barang sesuai pesanan admin responsif kualitas barang bagus top pokoknya,barang sesuai pesanan admin responsif kualitas barang bagus top pokoknya,barang sesuai pesan admin responsif kualitas barang bagus top pokok,10,"goods according to the admin's order are responsive, the quality of good goods top",0.7351,Positive
produk sudah diterima dengan baik dapat dipasang dan berfungsi sesuai harapan,produk diterima baik dipasang berfungsi sesuai harapan,produk terima baik pasang fungsi sesuai harap,11,The product is received well is installed as expected,0.2732,Positive
mantap,mantap,mantap,1,Excellent,0.5719,Positive
terbaik msi,terbaik msi,baik msi,2,MSI Best,0.6369,Positive
ssd nya works di msi modern mantap speednya,ssd works msi modern mantap speednya,ssd works msi modern mantap speednya,8,SSD Works MSI Modern Speed,0.0,Neutral
pengirimannya lama banget untuk pemesan send instan gak rekomend beli disini pesen jam pagi baru sampe rumah jam malem orderan baru di proses jam malam,pengirimannya lama banget pemesan send instan ngga rekomend beli disini pesen jam pagi baru sampe rumah jam malem orderan baru proses jam malam,kirim lama banget mes send instan ngga rekomend beli sini sen jam pagi baru sampe rumah jam malem order baru proses jam malam,25,The delivery is very long to order instant gosend not recommended to buy here or order the morning hours until the house at night the new order is the curfew process,-0.1511,Negative
belum dicoba tapi semoga berfungsi dengan baik,dicoba semoga berfungsi baik,coba moga fungsi baik,7,try it hope to function well,0.6124,Positive
mantqp,mantap,mantap,1,Excellent,0.5719,Positive
mh hardcore fans couldnt happier pas produk kolab ini di announced krn emg kebetulan lg mau ganti pc juga produknya kece bgt makasih admin yang udh sabar laden,mh hardcore fans couldnt happier pas produk kolab announced emang kebangetulan mau ganti pc produknya kece banget makasih admin udah sabar laden,mh hardcore fans couldnt happier pas produk kolab announced emang kebangetulan mau ganti pc produk kece banget makasih admin udah sabar laden,28,mh hardcore fans couldnt happier when the product isnunched it is really a coincidence that I want to replace the PC the product is really cool,0.0302,Positive
barang sudah datang sesuai deskripsi admin respond cepat sabar menjawab pertanyaan pertanyaan recommend seller thanks msi,barang datang sesuai deskripsi admin respond cepat sabar menjawab pertanyaan pertanyaan recommend seller thanks msi,barang datang sesuai deskripsi admin respond cepat sabar jawab tanya tanya recommend seller thanks msi,16,Items come according to the description of the respond admin quickly patiently answer questions Recommend Seller Thanks Msi,0.6597,Positive
monitor sampai dirumah dengan selamat semoga awet,monitor dirumah selamat semoga awet,monitor rumah selamat moga awet,7,monitor at home congratulations hopefully durable,0.765,Positive
mantapppss barangnya sesuai deskripsi,mantappss barangnya sesuai deskripsi,mantappss barang sesuai deskripsi,4,mantapps the goods according to the description,0.0,Neutral
barang sampai dan berfungsi demgan baik,barang berfungsi baik,barang fungsi baik,6,Goods functioning well,0.2732,Positive
mantab cepet betulbarang jg sesuai pesanan,mantap cepet bangetulbarang sesuai pesanan,mantap cepet bangetulbarang sesuai pesan,6,great very fast in the order,0.6249,Positive
paling bagus,paling bagus,paling bagus,2,the best,0.6369,Positive
keren,keren,keren,1,Cool,0.3182,Positive
packaging rapih bgt vga berfungsi dengan baik sayang pengiriman lama jd cancel acara lain karena nunggu vga sampe padahal sudab di wanti dr semalem sebelumnya,packaging rapih banget vga berfungsi baik sayang pengiriman lama jadi cancel acara nunggu vga sampe padahal sudab wantidarisemalem sebelumnya,packaging rapih banget vga fungsi baik sayang kirim lama jadi cancel acara nunggu vga sampe padahal sudab wantidarisemalem belum,25,"VGA's very neat packaging is functioning well, unfortunately the old shipment can be a cancel the event waiting for VGA to arrive even though the previous Wantidarisemalem",0.2484,Positive
thanks,thanks,thanks,1,Thanks,0.4404,Positive
best value headset,best value headset,best value headset,3,Best Value Headset,0.765,Positive
mantap gercep bagus layanan prima barang sesuai,mantap gercep bagus layanan prima barang sesuai,mantap gercep bagus layan prima barang sesuai,7,great gercep good good excellent goods,0.9274,Positive
cepat dan sesuai tanpa extra setting apa dengan kabel displayport bawaan bisa hz,cepat sesuai extra setting apa kabel displayport bawaan bisaa hz,cepat sesuai extra setting apa kabel displayport bawa bisaa hz,13,Quickly according to extra settings what default display cable can be hz,0.0,Neutral
sesuai deskripsi berfungsi dengan baik,sesuai deskripsi berfungsi baik,sesuai deskripsi fungsi baik,5,according to the description functioning well,0.2732,Positive
sudah sebulan berlalu alhamdulillah sejauh ini tidak ada kendala sangat terbantu dengan adanya baut dalam paket pembelian karena baut bekas psu yang lama sudah tidak bis,sebulan berlalu alhamdulillah sejauh kendala sangat terbantu adanya baut paket pembelian baut bekas psu lama,bulan lalu alhamdulillah jauh kendala sangat bantu ada baut paket beli baut bekas psu lama,26,a month passed Alhamdulillah as far as the obstacle was greatly helped,-0.3612,Negative
pelayanan mantab barang oke sesuai terima kasih,pelayanan mantap barang oke sesuai terima kasih,layan mantap barang oke sesuai terima kasih,7,"Steady service, okay items according to thank you",0.5267,Positive
pelayanan mantab,pelayanan mantap,layan mantap,2,Steady service,0.0,Neutral
respon baik kualitas baik puas dengan pelayanannya,respon baik kualitas baik puas pelayanannya,respon baik kualitas baik puas layan,7,good response good quality good service,0.8271,Positive
